reportyear,race_eth_name,geotype,geotypevalue,geoname,county_name,county_fips,region_name,region_code,mode,mode_name,pop_mode,pop_total,percent
2000,Other,CO,6003.0,Alpine,Alpine,6003,Central/Southeast Sierra,3,BICYCLE,Bicycle,NA,NA,NA
2000,AIAN,CO,6003.0,Alpine,Alpine,6003,Central/Southeast Sierra,3,CAR,"Car, Truck, or Van: Drove Alone",32,64,50.0
2000,Asian,CO,6003.0,Alpine,Alpine,6003,Central/Southeast Sierra,3,CAR,"Car, Truck, or Van: Drove Alone",NA,NA,NA
2000,AfricanAm,CO,6003.0,Alpine,Alpine,6003,Central/Southeast Sierra,3,CAR,"Car, Truck, or Van: Drove Alone",NA,NA,NA
2000,Latino,CO,6003.0,Alpine,Alpine,6003,Central/Southeast Sierra,3,CAR,"Car, Truck, or Van: Drove Alone",NA,NA,NA
2000,NHOPI,CO,6003.0,Alpine,Alpine,6003,Central/Southeast Sierra,3,CAR,"Car, Truck, or Van: Drove Alone",NA,NA,NA
2000,White,CO,6003.0,Alpine,Alpine,6003,Central/Southeast Sierra,3,CAR,"Car, Truck, or Van: Drove Alone",264,489,53.9877300613497
2000,Multiple,CO,6003.0,Alpine,Alpine,6003,Central/Southeast Sierra,3,CAR,"Car, Truck, or Van: Drove Alone",NA,NA,NA
2000,Other,CO,6003.0,Alpine,Alpine,6003,Central/Southeast Sierra,3,CAR,"Car, Truck, or Van: Drove Alone",NA,NA,NA
2000,AIAN,CO,6003.0,Alpine,Alpine,6003,Central/Southeast Sierra,3,CARPOOL,"Car, Truck, or Van: Carpooled",9,64,14.0625
2000,Asian,CO,6003.0,Alpine,Alpine,6003,Central/Southeast Sierra,3,CARPOOL,"Car, Truck, or Van: Carpooled",NA,NA,NA
2000,AfricanAm,CO,6003.0,Alpine,Alpine,6003,Central/Southeast Sierra,3,CARPOOL,"Car, Truck, or Van: Carpooled",NA,NA,NA
2000,Latino,CO,6003.0,Alpine,Alpine,6003,Central/Southeast Sierra,3,CARPOOL,"Car, Truck, or Van: Carpooled",NA,NA,NA
2000,NHOPI,CO,6003.0,Alpine,Alpine,6003,Central/Southeast Sierra,3,CARPOOL,"Car, Truck, or Van: Carpooled",NA,NA,NA
2000,White,CO,6003.0,Alpine,Alpine,6003,Central/Southeast Sierra,3,CARPOOL,"Car, Truck, or Van: Carpooled",80,489,16.359918200409
2000,Multiple,CO,6003.0,Alpine,Alpine,6003,Central/Southeast Sierra,3,CARPOOL,"Car, Truck, or Van: Carpooled",NA,NA,NA
2000,Other,CO,6003.0,Alpine,Alpine,6003,Central/Southeast Sierra,3,CARPOOL,"Car, Truck, or Van: Carpooled",NA,NA,NA
2000,AIAN,CO,6003.0,Alpine,Alpine,6003,Central/Southeast Sierra,3,PUBLICTR,Public Transportation,0,64,0.0
2000,Asian,CO,6003.0,Alpine,Alpine,6003,Central/Southeast Sierra,3,PUBLICTR,Public Transportation,NA,NA,NA
2000,AfricanAm,CO,6003.0,Alpine,Alpine,6003,Central/Southeast Sierra,3,PUBLICTR,Public Transportation,NA,NA,NA
2000,Latino,CO,6003.0,Alpine,Alpine,6003,Central/Southeast Sierra,3,PUBLICTR,Public Transportation,NA,NA,NA
2000,NHOPI,CO,6003.0,Alpine,Alpine,6003,Central/Southeast Sierra,3,PUBLICTR,Public Transportation,NA,NA,NA
2000,White,CO,6003.0,Alpine,Alpine,6003,Central/Southeast Sierra,3,PUBLICTR,Public Transportation,0,489,0.0
2000,Multiple,CO,6003.0,Alpine,Alpine,6003,Central/Southeast Sierra,3,PUBLICTR,Public Transportation,NA,NA,NA
2000,Other,CO,6003.0,Alpine,Alpine,6003,Central/Southeast Sierra,3,PUBLICTR,Public Transportation,NA,NA,NA
2000,AIAN,CO,6003.0,Alpine,Alpine,6003,Central/Southeast Sierra,3,WALK,Walked to work,17,64,26.5625
2000,Asian,CO,6003.0,Alpine,Alpine,6003,Central/Southeast Sierra,3,WALK,Walked to work,NA,NA,NA
2000,AfricanAm,CO,6003.0,Alpine,Alpine,6003,Central/Southeast Sierra,3,WALK,Walked to work,NA,NA,NA
2000,Latino,CO,6003.0,Alpine,Alpine,6003,Central/Southeast Sierra,3,WALK,Walked to work,NA,NA,NA
2000,White,CO,6003.0,Alpine,Alpine,6003,Central/Southeast Sierra,3,WALK,Walked to work,115,489,23.5173824130879
2000,Multiple,CO,6003.0,Alpine,Alpine,6003,Central/Southeast Sierra,3,WALK,Walked to work,NA,NA,NA
2000,Other,CO,6003.0,Alpine,Alpine,6003,Central/Southeast Sierra,3,WALK,Walked to work,NA,NA,NA
2000,AIAN,CO,6005.0,Amador,Amador,6005,Central/Southeast Sierra,3,ATHOME,Worked at home,0,154,0.0
2000,Asian,CO,6005.0,Amador,Amador,6005,Central/Southeast Sierra,3,ATHOME,Worked at home,10,71,14.0845070422535
